JobIDRaw|State|ExitCode|ElapsedRaw|AllocTRES
250928_0|COMPLETED|0:0|1586|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_1|COMPLETED|0:0|1634|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_2|COMPLETED|0:0|1548|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_9|COMPLETED|0:0|2839|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_10|COMPLETED|0:0|2887|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_11|COMPLETED|0:0|2829|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_18|COMPLETED|0:0|22274|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_19|COMPLETED|0:0|23393|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250928_20|COMPLETED|0:0|23672|billing=72,cpu=72,gres/gpu:gh200=1,mem=217086M,node=1
250929_3|COMPLETED|0:0|1034|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_4|COMPLETED|0:0|1051|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_5|COMPLETED|0:0|1040|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_12|COMPLETED|0:0|1814|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_13|COMPLETED|0:0|1871|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_14|COMPLETED|0:0|1781|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_21|COMPLETED|0:0|14958|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_22|COMPLETED|0:0|15265|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250929_23|COMPLETED|0:0|16191|billing=144,cpu=144,gres/gpu:gh200=2,mem=434172M,node=1
250946_6|COMPLETED|0:0|667|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
250946_7|COMPLETED|0:0|650|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
250946_8|COMPLETED|0:0|659|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
250946_15|COMPLETED|0:0|1233|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
250946_16|COMPLETED|0:0|1269|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
250946_17|COMPLETED|0:0|1232|billing=288,cpu=288,gres/gpu:gh200=4,mem=868344M,node=1
