group_dimension,group_value,mean_absolute_error,mean_signed_error,median_absolute_error,median_absolute_percentage_error,median_signed_error,model,p90_absolute_error,p90_absolute_percentage_error,percentage_denominator_floor,r_squared,root_mean_squared_error,sample_count,setting,spearman_rank_correlation,target
joint,all,0.206104698799,-0.055783057904999975,0.12895499649999997,0.09080974560667732,-0.03943727149999998,constant,0.4329033878000001,0.3395023201666329,0.001,-0.04269981329112271,0.27565696962695063,1000,shd_within_dataset,0.0,client_wall_time_seconds
per_dataset,shd,0.206104698799,-0.055783057904999975,0.12895499649999997,0.09080974560667732,-0.03943727149999998,constant,0.4329033878000001,0.3395023201666329,0.001,-0.04269981329112271,0.27565696962695063,1000,shd_within_dataset,0.0,client_wall_time_seconds
per_seed,27,0.206104698799,-0.055783057904999975,0.12895499649999997,0.09080974560667732,-0.03943727149999998,constant,0.4329033878000001,0.3395023201666329,0.001,-0.04269981329112271,0.27565696962695063,1000,shd_within_dataset,0.0,client_wall_time_seconds
by_client_size_quartile,1,0.2567084264506173,0.2567084264506173,0.21691858450000012,0.18742501589589144,0.21691858450000012,constant,0.4596431793,0.5025414903092217,0.001,-3.93825648822238,0.28745836265593183,243,shd_within_dataset,0.0,client_wall_time_seconds
by_client_size_quartile,2,0.06715083418449201,0.06678766276737971,0.06799987150000009,0.05205609536854543,0.06799987150000009,constant,0.10089591310000001,0.07923443882694806,0.001,-5.85580958880676,0.07226568870215039,187,shd_within_dataset,0.0,client_wall_time_seconds
by_client_size_quartile,3,0.09291407725786159,-0.09129506244968551,0.08296830699999991,0.05693489164942317,-0.08296830699999991,constant,0.18690186549999996,0.11971814626337168,0.001,-1.9565429564367305,0.11222631244572785,318,shd_within_dataset,0.0,client_wall_time_seconds
by_client_size_quartile,4,0.4032566214722222,-0.4032566214722222,0.37100768900000003,0.2125767332008218,-0.37100768900000003,constant,0.7414158196999999,0.3504358312045921,0.001,-4.1200862476276345,0.44953860327155043,252,shd_within_dataset,0.0,client_wall_time_seconds
by_sequence_length_quartile,1,0.11613849640336137,0.11585314743277314,0.08979476100000006,0.06990732763417656,0.08979476100000006,constant,0.21322685770000008,0.18364945487327547,0.001,-2.8395484356895353,0.1347172694671053,238,shd_within_dataset,0.0,client_wall_time_seconds
by_sequence_length_quartile,2,0.23476235085458166,-0.21293335662350593,0.20282272049999994,0.12860459076253425,-0.20282272049999994,constant,0.38600865650000005,0.219287066809002,0.001,-1.77711988868132,0.26618443145392234,251,shd_within_dataset,0.0,client_wall_time_seconds
by_sequence_length_quartile,3,0.12350867571011671,-0.12150538112256806,0.07606649450000003,0.05244709869070972,-0.07606649450000003,constant,0.3749495733,0.2143511883459607,0.001,-0.8709970897163213,0.17808351372793324,257,shd_within_dataset,0.0,client_wall_time_seconds
by_sequence_length_quartile,4,0.3456561296574803,0.005185230185039402,0.32560881100000005,0.31049649669723056,0.09562482650000004,constant,0.7409832431,0.5019282756182576,0.001,-0.00014935140704319672,0.4243222547565321,254,shd_within_dataset,0.0,client_wall_time_seconds
by_communication_round_interval,1-20,0.21320841378,-0.058838783929999965,0.12646031800000002,0.09408921232402356,-0.05160595950000002,constant,0.45239785680000005,0.3476411175078879,0.001,-0.04483040253274129,0.28405358161008837,200,shd_within_dataset,0.0,client_wall_time_seconds
by_communication_round_interval,21-40,0.191714236595,-0.029548484524999967,0.12174213999999994,0.08417705232514544,-0.017423503499999993,constant,0.4084473778999998,0.32891442910998747,0.001,-0.013300275162986042,0.2579134430171116,200,shd_within_dataset,0.0,client_wall_time_seconds
by_communication_round_interval,41-60,0.19835696439499997,-0.05875495793499997,0.11859800249999997,0.08762237257435865,-0.04426003299999992,constant,0.40169758679999995,0.32119586496094416,0.001,-0.05154676830997773,0.26537383147792876,200,shd_within_dataset,0.0,client_wall_time_seconds
by_communication_round_interval,61-80,0.21120002542,-0.055426006399999964,0.1503396855,0.10072966307472389,-0.026904427499999883,constant,0.4428275453999999,0.34474679698623867,0.001,-0.03967231350638856,0.2837383659961561,200,shd_within_dataset,0.0,client_wall_time_seconds
by_communication_round_interval,81-100,0.216043853805,-0.07634705673499997,0.1329508694999999,0.09027198712329511,-0.06134805649999997,constant,0.4162236475,0.3412874017299104,0.001,-0.07672756109093193,0.2860022944552424,200,shd_within_dataset,0.0,client_wall_time_seconds
without_history,all,0.22267333350000001,-0.07181469124999998,0.13021016600000002,0.09408921232402356,-0.04929421749999996,constant,0.47844560430000044,0.3489942865353559,0.001,-0.05757098091654522,0.30779832054640666,20,shd_within_dataset,0.0,client_wall_time_seconds
with_history,all,0.20576656339693877,-0.055455881714285685,0.12895499649999997,0.0903499386520334,-0.03943727149999998,constant,0.43230106759999987,0.3389239185153573,0.001,-0.04240190476886352,0.2749619060466856,980,shd_within_dataset,0.0,client_wall_time_seconds
joint,all,0.07187421694486573,-0.07132520173847229,0.06348443784231339,0.04644435861538808,-0.06348443784231339,size,0.13173692398874118,0.08176248355469821,0.001,0.8980118198269088,0.086211311300258,1000,shd_within_dataset,0.961026651295563,client_wall_time_seconds
per_dataset,shd,0.07187421694486573,-0.07132520173847229,0.06348443784231339,0.04644435861538808,-0.06348443784231339,size,0.13173692398874118,0.08176248355469821,0.001,0.8980118198269088,0.086211311300258,1000,shd_within_dataset,0.961026651295563,client_wall_time_seconds
per_seed,27,0.07187421694486573,-0.07132520173847229,0.06348443784231339,0.04644435861538808,-0.06348443784231339,size,0.13173692398874118,0.08176248355469821,0.001,0.8980118198269088,0.086211311300258,1000,shd_within_dataset,0.961026651295563,client_wall_time_seconds
by_client_size_quartile,1,0.04321274386324236,-0.042018363544766985,0.040284009821088373,0.03688319427209813,-0.040284009821088373,size,0.07792205640266389,0.07189437739728173,0.001,0.8422138995027979,0.05138335975210867,243,shd_within_dataset,0.9388299954005708,client_wall_time_seconds
by_client_size_quartile,2,0.05394242083498268,-0.05348858188648374,0.05151344656928303,0.039496563737029235,-0.05151344656928303,size,0.08832100822766528,0.06585677977871612,0.001,-3.6939054159941653,0.05979569794911291,187,shd_within_dataset,0.2356426128319161,client_wall_time_seconds
by_client_size_quartile,3,0.0890677580531847,-0.08872311097488063,0.08816735304444712,0.059113780923420144,-0.08816735304444712,size,0.14159494811753276,0.09321493182360696,0.001,-1.4222663897568442,0.10158124887937009,318,shd_within_dataset,0.3204149900996441,client_wall_time_seconds
by_client_size_quartile,4,0.09112198582953705,-0.0908667670409103,0.08675379753245982,0.04967934830643542,-0.08675379753245982,size,0.15753279651813412,0.07606357387901048,0.001,0.7143810369896149,0.1061749029144683,252,shd_within_dataset,0.768306737674956,client_wall_time_seconds
by_sequence_length_quartile,1,0.04296825955540402,-0.04151274336997115,0.041153740077366385,0.03237024449193023,-0.041153740077366385,size,0.07698017996928298,0.05822116424036544,0.001,0.45206163268028454,0.05089194534292384,238,shd_within_dataset,0.7945911667445931,client_wall_time_seconds
by_sequence_length_quartile,2,0.07462645881406527,-0.07437022321751573,0.07347711886353858,0.04634694380553049,-0.07347711886353858,size,0.11634566979711414,0.07401082935027294,0.001,0.7071940383138033,0.08643214559187645,251,shd_within_dataset,0.8409430941279918,client_wall_time_seconds
by_sequence_length_quartile,3,0.08051887540948487,-0.08009242493905411,0.0725614427283805,0.049560971054689325,-0.0725614427283805,size,0.1345575718583921,0.08892570699775183,0.001,0.47368719498813705,0.09445155846790788,257,shd_within_dataset,0.4756108409784052,client_wall_time_seconds
by_sequence_length_quartile,4,0.08749283081933693,-0.08737988023419599,0.07692528276491084,0.06449927925741866,-0.07692528276491084,size,0.15855149581813405,0.08893161277302021,0.001,0.9420861687184248,0.10210676799531238,254,shd_within_dataset,0.979587799756323,client_wall_time_seconds
by_communication_round_interval,1-20,0.07468004306920915,-0.07424097604749406,0.0690079433724834,0.04728810095761797,-0.0690079433724834,size,0.129044936811733,0.08192135901520445,0.001,0.8903080923440141,0.0920374682578562,200,shd_within_dataset,0.958491238295383,client_wall_time_seconds
by_communication_round_interval,21-40,0.06145617337898559,-0.060051225692325245,0.05320276244640526,0.04131742964267291,-0.05320276244640526,size,0.11388360441173309,0.07600535182929459,0.001,0.9197449413828297,0.07258403494596595,200,shd_within_dataset,0.9627725613562005,client_wall_time_seconds
