absolute_error_seconds,dataset,model
0.17811535200000006,shd,constant
0.816468459,shd,constant
0.723662968,shd,constant
0.27459192499999996,shd,constant
0.696196341,shd,constant
0.644576813,shd,constant
0.9270036559999999,shd,constant
1.054687179,shd,constant
0.528316912,shd,constant
0.5818709479999999,shd,constant
0.436674813,shd,constant
0.517647148,shd,constant
0.670538973,shd,constant
0.5037300359999999,shd,constant
0.947911261,shd,constant
0.626234577,shd,constant
0.5862822679999999,shd,constant
0.7798981919999999,shd,constant
0.24654162499999988,shd,constant
0.680391862,shd,constant
0.6793515649999999,shd,constant
0.23611364499999987,shd,constant
0.9265682749999999,shd,constant
0.23621716299999984,shd,constant
0.4229960959999999,shd,constant
0.22853558499999993,shd,constant
0.534939829,shd,constant
0.49380018999999997,shd,constant
0.596418189,shd,constant
0.49043671600000005,shd,constant
0.40311075100000004,shd,constant
0.95270455,shd,constant
0.7672046639999999,shd,constant
0.22641495099999998,shd,constant
0.5001337779999999,shd,constant
0.6824801359999999,shd,constant
0.544989825,shd,constant
0.7049067199999999,shd,constant
0.46324263599999993,shd,constant
0.6637496279999999,shd,constant
0.27065177799999995,shd,constant
0.5552666099999999,shd,constant
0.6893167469999999,shd,constant
0.8399526399999999,shd,constant
0.5489153019999999,shd,constant
0.7881820659999998,shd,constant
0.2559865189999999,shd,constant
0.7173992309999999,shd,constant
0.43819585699999997,shd,constant
1.075833851,shd,constant
0.6400454099999999,shd,constant
0.916977924,shd,constant
0.30663535899999994,shd,constant
0.5502977659999999,shd,constant
0.12737661200000017,shd,constant
1.0567169829999998,shd,constant
0.58787571,shd,constant
0.614322391,shd,constant
0.5865990669999999,shd,constant
0.716610832,shd,constant
0.635520426,shd,constant
0.21447593200000004,shd,constant
0.11992737599999992,shd,constant
0.5314546199999999,shd,constant
1.083781827,shd,constant
0.6801520939999999,shd,constant
0.5710577969999999,shd,constant
0.54991579,shd,constant
0.8842958169999999,shd,constant
0.252590063,shd,constant
0.518032432,shd,constant
0.278282554,shd,constant
0.25332879799999986,shd,constant
0.726596348,shd,constant
1.088385981,shd,constant
0.43634134,shd,constant
0.5236582859999999,shd,constant
0.557952784,shd,constant
0.5079886649999998,shd,constant
0.13641730399999985,shd,constant
1.059334466,shd,constant
0.28609152399999993,shd,constant
0.508838055,shd,constant
0.682943732,shd,constant
0.690500645,shd,constant
0.1867634600000001,shd,constant
0.787306872,shd,constant
0.21449834099999987,shd,constant
0.540919452,shd,constant
0.6537652109999998,shd,constant
0.805835978,shd,constant
0.510675867,shd,constant
0.2529492549999999,shd,constant
0.3613838199999999,shd,constant
0.778180621,shd,constant
0.516989224,shd,constant
0.13934693200000026,shd,constant
0.685108514,shd,constant
0.4771127449999999,shd,constant
0.679325929,shd,constant
0.8100399439999999,shd,constant
0.676568488,shd,constant
0.28968616,shd,constant
0.27072784799999994,shd,constant
0.6568552509999999,shd,constant
0.6231703069999999,shd,constant
0.701051568,shd,constant
0.5464559949999999,shd,constant
0.5663008459999999,shd,constant
0.43843585099999993,shd,constant
0.31528831599999996,shd,constant
0.5315358939999999,shd,constant
0.807257449,shd,constant
0.21326969699999987,shd,constant
0.22170310199999999,shd,constant
0.685784562,shd,constant
0.951405039,shd,constant
0.517796693,shd,constant
0.594369953,shd,constant
0.676281871,shd,constant
0.655205722,shd,constant
0.5930565429999999,shd,constant
0.538956233,shd,constant
0.12452945299999985,shd,constant
0.21862211799999987,shd,constant
0.4787429139999999,shd,constant
0.506074886,shd,constant
0.6920345829999999,shd,constant
0.5689337159999999,shd,constant
0.659596984,shd,constant
0.510268167,shd,constant
0.13497882100000003,shd,constant
0.40144208800000003,shd,constant
0.665958981,shd,constant
0.5054918939999999,shd,constant
0.5050358079999999,shd,constant
1.069652414,shd,constant
0.13816225599999998,shd,constant
0.6882298229999999,shd,constant
0.24670014799999995,shd,constant
0.7879593439999999,shd,constant
0.5806608039999999,shd,constant
0.485892317,shd,constant
0.6409004599999999,shd,constant
0.25779429200000004,shd,constant
0.52919928,shd,constant
0.617483979,shd,constant
0.560826192,shd,constant
1.0367757059999998,shd,constant
0.9154685089999999,shd,constant
0.800016217,shd,constant
0.5178114149999999,shd,constant
0.20411313799999986,shd,constant
0.9190849699999999,shd,constant
0.695465655,shd,constant
0.24444042499999985,shd,constant
1.048471529,shd,constant
0.52119892,shd,constant
0.699467002,shd,constant
0.531245183,shd,constant
0.556869675,shd,constant
0.22116253399999986,shd,constant
0.7833842199999999,shd,constant
0.6609939119999999,shd,constant
0.43993533799999995,shd,constant
0.5079927629999998,shd,constant
0.28971262100000006,shd,constant
0.41267878699999994,shd,constant
0.713625457,shd,constant
0.15885592999999987,shd,constant
0.831839445,shd,constant
0.5040095919999998,shd,constant
0.6559469259999999,shd,constant
0.525177709,shd,constant
1.057407196,shd,constant
0.534206746,shd,constant
0.2536962409999999,shd,constant
0.591385193,shd,constant
0.240635586,shd,constant
0.916498407,shd,constant
1.06411619,shd,constant
0.672748326,shd,constant
0.20852004300000004,shd,constant
0.13326522900000026,shd,constant
0.6186547999999998,shd,constant
0.41988895599999987,shd,constant
0.636718669,shd,constant
0.238281752,shd,constant
0.4820499759999999,shd,constant
0.9272862559999999,shd,constant
0.48872322899999987,shd,constant
0.45244775400000004,shd,constant
0.19075091,shd,constant
0.24784737099999998,shd,constant
1.065976848,shd,constant
0.13924421499999995,shd,constant
0.7990677079999999,shd,constant
0.939597553,shd,constant
0.76059075,shd,constant
0.5089478139999999,shd,constant
1.0757440109999998,shd,constant
0.5291365909999999,shd,constant
0.18740788399999997,shd,constant
0.6481714169999999,shd,constant
0.9140238119999999,shd,constant
0.509336988,shd,constant
0.45464437599999985,shd,constant
0.586012706,shd,constant
0.662546378,shd,constant
0.521161481,shd,constant
0.762950695,shd,constant
0.581193362,shd,constant
0.4344107989999999,shd,constant
0.2301396549999999,shd,constant
0.582380503,shd,constant
0.48612959499999997,shd,constant
0.9256633489999999,shd,constant
0.661883802,shd,constant
0.712100231,shd,constant
1.05934081,shd,constant
0.68115228,shd,constant
0.8178273039999999,shd,constant
0.5332681749999999,shd,constant
0.22563000099999986,shd,constant
0.668208999,shd,constant
0.5308212239999999,shd,constant
0.6255108569999999,shd,constant
1.055005935,shd,constant
0.6686391839999999,shd,constant
0.4881970979999999,shd,constant
0.923270955,shd,constant
0.8325791419999999,shd,constant
0.478986688,shd,constant
0.595401295,shd,constant
0.779903886,shd,constant
0.1490572429999999,shd,constant
0.653876095,shd,constant
0.488807867,shd,constant
0.7335376999999998,shd,constant
0.5160651859999998,shd,constant
0.935237876,shd,constant
0.3738043659999999,shd,constant
0.266214226,shd,constant
0.5871532609999999,shd,constant
0.5248525019999999,shd,constant
0.687895369,shd,constant
0.48038633499999994,shd,constant
0.118524992,shd,constant
1.047923129,shd,constant
0.652559581,shd,constant
0.458105003,shd,constant
0.8072493009999999,shd,constant
0.19843852699999998,shd,constant
0.611807414,shd,constant
1.072001996,shd,constant
0.1379092070000001,shd,constant
0.6440868209999999,shd,constant
0.9349581089999999,shd,constant
0.49117367300000003,shd,constant
0.24476644199999997,shd,constant
0.6524335729999999,shd,constant
0.937255143,shd,constant
0.622400063,shd,constant
0.48260270299999997,shd,constant
0.5730359629999999,shd,constant
0.23828966299999998,shd,constant
0.23872491699999987,shd,constant
0.18819162300000003,shd,constant
1.0770299419999998,shd,constant
0.632819789,shd,constant
0.659016716,shd,constant
0.9174055889999999,shd,constant
0.7319607159999999,shd,constant
0.681074475,shd,constant
0.49914753499999986,shd,constant
0.586776027,shd,constant
0.40144775899999985,shd,constant
0.524460226,shd,constant
1.099489932,shd,constant
0.6841867859999999,shd,constant
0.7052286969999999,shd,constant
0.22019648399999991,shd,constant
0.09774649400000013,shd,constant
0.6112442579999999,shd,constant
0.433089839,shd,constant
0.48812008099999993,shd,constant
0.810798339,shd,constant
0.750135142,shd,constant
0.662931505,shd,constant
1.058973115,shd,constant
0.27997451799999995,shd,constant
0.6701551449999998,shd,constant
0.679535086,shd,constant
0.7911551799999998,shd,constant
0.701845608,shd,constant
0.21196509099999994,shd,constant
0.5176419209999998,shd,constant
0.445535821,shd,constant
0.4764985909999999,shd,constant
0.590533411,shd,constant
0.567246336,shd,constant
0.6901735599999999,shd,constant
0.47973755500000004,shd,constant
0.554810338,shd,constant
0.8053552639999999,shd,constant
0.722880959,shd,constant
0.781258834,shd,constant
0.7072539929999999,shd,constant
0.24486998999999998,shd,constant
0.5184532319999999,shd,constant
0.60027173,shd,constant
0.6515904099999998,shd,constant
0.22201136600000004,shd,constant
1.047230465,shd,constant
0.672790046,shd,constant
0.386341469,shd,constant
0.6819613840000001,shd,constant
0.469289206,shd,constant
0.53698552,shd,constant
0.514392862,shd,constant
0.292799418,shd,constant
0.6893382049999999,shd,constant
0.955643858,shd,constant
0.8499969679999999,shd,constant
0.831784208,shd,constant
0.11099987200000005,shd,constant
0.43667476399999994,shd,constant
0.693683447,shd,constant
0.6093520639999999,shd,constant
0.279246133,shd,constant
0.9343273599999999,shd,constant
0.4175126819999999,shd,constant
0.08543720200000027,shd,constant
0.6635766589999998,shd,constant
0.7117417179999999,shd,constant
0.26815547900000003,shd,constant
0.524358133,shd,constant
0.708692731,shd,constant
0.5207329699999999,shd,constant
0.6103368409999999,shd,constant
0.542172313,shd,constant
0.537494629,shd,constant
0.9220691489999999,shd,constant
0.8037793529999999,shd,constant
0.521464761,shd,constant
0.23487986799999994,shd,constant
0.458776426,shd,constant
0.448973069,shd,constant
0.5518900369999999,shd,constant
0.6698738559999999,shd,constant
0.9351712130000001,shd,constant
0.6837744619999999,shd,constant
0.5786437529999999,shd,constant
0.6811710979999999,shd,constant
0.825269735,shd,constant
0.790064632,shd,constant
0.08642047499999994,shd,constant
0.253821571,shd,constant
0.7020486930000001,shd,constant
0.6970334819999999,shd,constant
0.464388775,shd,constant
0.5238116829999999,shd,constant
0.7260869829999999,shd,constant
0.6902647120000001,shd,constant
0.6862307569999999,shd,constant
0.5512355579999999,shd,constant
0.576761844,shd,constant
0.454877988,shd,constant
0.814587583,shd,constant
1.0636918739999999,shd,constant
0.501341453,shd,constant
0.670855786,shd,constant
0.5546019149999999,shd,constant
0.41373279500000004,shd,constant
0.2799835479999999,shd,constant
0.6851843499999999,shd,constant
0.7959968179999999,shd,constant
0.27408233999999987,shd,constant
0.688479762,shd,constant
0.27723852299999985,shd,constant
0.849869872,shd,constant
0.631237603,shd,constant
0.431058857,shd,constant
0.5559200869999998,shd,constant
0.19688886800000005,shd,constant
0.22517905999999988,shd,constant
0.5051348019999999,shd,constant
0.69468237,shd,constant
0.528489972,shd,constant
0.543781265,shd,constant
0.5342823489999999,shd,constant
0.27531255199999993,shd,constant
0.40958956299999993,shd,constant
0.4975411539999999,shd,constant
0.654104112,shd,constant
0.12895208199999986,shd,constant
0.732884299,shd,constant
0.5040274979999999,shd,constant
0.7876509,shd,constant
0.9440737019999998,shd,constant
0.14200060999999997,shd,constant
0.501473031,shd,constant
0.23482818000000005,shd,constant
0.660834132,shd,constant
0.23357444799999993,shd,constant
0.46570403699999985,shd,constant
0.663036545,shd,constant
0.5306091849999999,shd,constant
0.6667675629999998,shd,constant
0.6685110729999999,shd,constant
0.5815336039999999,shd,constant
0.7895707269999999,shd,constant
0.20407311699999986,shd,constant
0.543970412,shd,constant
0.9468820519999999,shd,constant
0.3723100129999999,shd,constant
0.660899634,shd,constant
0.5130416259999999,shd,constant
0.4565543299999999,shd,constant
0.714898893,shd,constant
0.9297290739999999,shd,constant
