communication_round,dataset,measured_process_load_seconds,predicted_process_load_seconds,process_index,scientific_seed
1,shd,4.141293099,4.145977188798263,0,7
1,shd,3.674534564,3.8158125019230553,1,7
1,shd,3.156740385,3.2153062820038434,2,7
1,shd,3.623521639,3.197535837556483,3,7
2,shd,3.044465335,3.056614923747027,0,7
2,shd,4.132207961000001,4.068859222027601,1,7
2,shd,4.066381616999999,4.1373336483212295,2,7
2,shd,2.982619079,3.0108320926747876,3,7
3,shd,3.7061513539999997,3.691262679192942,0,7
3,shd,4.229216428,4.200026179238438,1,7
3,shd,3.048882316,3.1205913248316612,2,7
3,shd,3.150569268,3.08005388003858,3,7
4,shd,3.989328812,3.95420823677153,0,7
4,shd,4.013764214,4.0377428740925705,1,7
4,shd,3.008741534,3.0345280599597846,2,7
4,shd,2.9389415469999998,2.993032934261331,3,7
5,shd,4.1006799329999994,3.930623658459126,0,7
5,shd,3.669111033,3.5469896334244124,1,7
5,shd,3.016423947,2.9937539640713817,2,7
5,shd,2.877095808,2.9393704331752186,3,7
6,shd,3.4244402869999995,3.4133123923847695,0,7
6,shd,3.623309544,3.6468035478901113,1,7
6,shd,2.774531489,2.815864044595256,2,7
6,shd,2.739170703,2.8854535702595943,3,7
7,shd,3.909158067,4.003540545571653,0,7
7,shd,4.232059577,4.270317969847557,1,7
7,shd,3.012805587,3.109886027493941,2,7
7,shd,3.1169489329999998,3.1074996652265536,3,7
8,shd,2.858366028,2.8802345585827283,0,7
8,shd,2.916913568,2.917146079097429,1,7
8,shd,3.4493269939999998,3.4562055554348303,2,7
8,shd,3.408476355,3.4046881723022464,3,7
9,shd,3.9968138950000003,3.997818693045926,0,7
9,shd,4.0593359620000005,4.086332381687648,1,7
9,shd,3.1316910709999997,3.166455876270943,2,7
9,shd,3.0960049520000004,3.097804602081113,3,7
10,shd,3.362875807,3.354016107672601,0,7
10,shd,3.3742617499999996,3.4004186299477075,1,7
10,shd,2.870302336,2.883330053232034,2,7
10,shd,2.99931559,3.0238574577635378,3,7
11,shd,3.5487579179999997,3.524332834943941,0,7
11,shd,2.8088362790000003,2.8805149999250865,1,7
11,shd,3.7780808400000003,3.738893869713097,2,7
11,shd,2.9162224510000003,2.9474439785006243,3,7
12,shd,3.933768573,3.9299179501388233,0,7
12,shd,3.114224863,3.080631492348168,1,7
12,shd,3.092419166,3.1433522312681257,2,7
12,shd,3.9688524490000003,4.0282806026697875,3,7
13,shd,3.979681959,3.9221286636141146,0,7
13,shd,3.9114172080000005,3.620476874997383,1,7
13,shd,3.01523097,3.038078717627122,2,7
13,shd,3.079993946,3.039402321884481,3,7
14,shd,3.6693193400000004,3.705067506542063,0,7
14,shd,2.8938104620000002,2.9554435859492534,1,7
14,shd,2.994663257,2.915735342608839,2,7
14,shd,3.4460519529999996,3.521462898282632,3,7
15,shd,3.2179401690000002,3.186522055787562,0,7
15,shd,3.3140918170000004,3.34187251768709,1,7
15,shd,2.682567102,2.689852890471543,2,7
15,shd,2.747474659,2.7899498725350167,3,7
16,shd,4.0701341929999995,4.145784060330577,0,7
16,shd,3.967879072,4.069264560153249,1,7
16,shd,3.182307198,3.228760531136305,2,7
16,shd,3.134850608,3.137887486177714,3,7
17,shd,3.324070933,3.2681786830650736,0,7
17,shd,2.804637575,2.823356811953862,1,7
17,shd,3.2850012069999996,3.290378687712124,2,7
17,shd,2.5707296729999998,2.6712932482030185,3,7
18,shd,4.146810254,4.1327351903512195,0,7
18,shd,3.080093059,3.1932616124252524,1,7
18,shd,3.7336260199999995,3.776480584451786,2,7
18,shd,3.167751593,3.1792241668892665,3,7
19,shd,4.2070579519999995,4.282319328028845,0,7
19,shd,3.89928251,3.8916780894044214,1,7
19,shd,3.246907289,3.2451073397090777,2,7
19,shd,3.2521470079999997,3.258908889168114,3,7
20,shd,4.358054766,4.392193405905556,0,7
20,shd,4.409652192,4.496458558716481,1,7
20,shd,3.136408606,3.2057749620247424,2,7
20,shd,3.269813062,3.2713514420308423,3,7
21,shd,3.90582985,3.9196580467901985,0,7
21,shd,3.140264326,3.172561646804854,1,7
21,shd,4.087380313000001,4.120746776092434,2,7
21,shd,2.9974875880000003,3.0113840401863348,3,7
22,shd,3.500720224,3.5830888026341556,0,7
22,shd,2.867977776,2.943550007735693,1,7
22,shd,3.881358324,3.8511690126043945,2,7
22,shd,2.9272893890000002,2.970270317737982,3,7
23,shd,4.111178583,4.104148875332298,0,7
23,shd,3.630749011,3.669226663704382,1,7
23,shd,3.184264924,3.234111008487604,2,7
23,shd,3.101793431,3.120420990282007,3,7
24,shd,3.666685968,3.6134675739296016,0,7
24,shd,3.058913549,3.046702937098411,1,7
24,shd,2.974539524,3.0145169572843784,2,7
24,shd,3.6151358059999996,3.614905411110092,3,7
25,shd,3.552358046,3.539921214939586,0,7
25,shd,3.7848531249999997,3.8247313496674797,1,7
25,shd,2.891814115,2.960116641414608,2,7
25,shd,2.8618174659999998,2.9469113518511856,3,7
26,shd,4.212124424000001,4.1612420666048155,0,7
26,shd,3.131854589,3.1910220951403288,1,7
26,shd,4.24223422,4.224832484795662,2,7
26,shd,3.278245912,3.2510799008233757,3,7
27,shd,3.318375379,3.3402187920163895,0,7
27,shd,2.922453915,2.9368321472959185,1,7
27,shd,2.927916508,2.9459184587762017,2,7
27,shd,3.514497099,3.494631070514389,3,7
28,shd,3.9694817209999997,4.03461074638152,0,7
28,shd,3.642117266,3.675505792409841,1,7
28,shd,3.1510651000000003,3.2097500535280696,2,7
28,shd,3.2349805729999996,3.244022091194335,3,7
29,shd,2.9392561759999998,2.9274040324417427,0,7
29,shd,2.928142678,2.9548659149470415,1,7
29,shd,3.670372861,3.7286088102712016,2,7
29,shd,3.4665274969999995,3.460310654605715,3,7
30,shd,4.359016027,4.3469766196981645,0,7
30,shd,3.067735755,3.1574480120005965,1,7
30,shd,3.076860287,3.156748846796388,2,7
30,shd,3.759882287,3.740667015989116,3,7
31,shd,3.277907463,3.246616943550805,0,7
31,shd,3.291881024,3.2747679614652956,1,7
31,shd,2.7262818390000003,2.7600756633575836,2,7
31,shd,2.768008166,2.765539542168863,3,7
32,shd,4.000387537,4.043900379904737,0,7
32,shd,3.1234064200000002,3.072211626644796,1,7
32,shd,3.093373582,3.154038388084225,2,7
32,shd,3.995673408,4.088189078720103,3,7
33,shd,4.010586532,4.032365184546572,0,7
33,shd,3.640348112,3.679664839978476,1,7
33,shd,3.199674564,3.2217741403557723,2,7
33,shd,3.1805352979999997,3.137961682591495,3,7
34,shd,4.20254767,4.169957108192529,0,7
34,shd,2.973809391,3.014522884759197,1,7
34,shd,3.018875411,3.1203697230060925,2,7
34,shd,3.617205699,3.6438899881131803,3,7
35,shd,4.211342727,4.216457336574937,0,7
35,shd,3.146779974,3.146053047706408,1,7
35,shd,4.112371088,4.188062008057018,2,7
35,shd,3.0487569839999997,3.0594583009654626,3,7
36,shd,4.096276481,4.114190656981877,0,7
36,shd,3.812178423,3.894132654986131,1,7
36,shd,2.915249862,2.9941742597702374,2,7
36,shd,3.0310162800000002,3.0326190762316125,3,7
37,shd,4.1734462809999995,4.180991807098358,0,7
37,shd,4.145922088000001,4.131622835406091,1,7
37,shd,3.141329802,3.1628591908406234,2,7
37,shd,3.172803413,3.197412863327335,3,7
38,shd,3.041334848,3.0452221886377275,0,7
38,shd,3.101428042,3.0447720626462287,1,7
38,shd,3.5291700190000004,3.628606123963432,2,7
38,shd,3.957807235,4.004684150136143,3,7
39,shd,2.932851998,2.8679224374411962,0,7
39,shd,2.864706161,2.7757101037825764,1,7
39,shd,3.5570461040000003,3.6070683307451343,2,7
39,shd,3.297888171,3.370920407299738,3,7
40,shd,2.9739006669999997,2.949392062025435,0,7
40,shd,2.8814759949999997,2.9544074439092647,1,7
40,shd,3.789077463,3.7714560852413674,2,7
40,shd,3.557146312,3.5682447151996524,3,7
41,shd,4.290838947,4.3652730224151854,0,7
