communication_round,dataset,example_count,input_event_count,measured,model,padded_time_bins,predicted,residual,scientific_seed,selected_position,setting
1,shd,465,3536620,348.10325219940137,event_structure,46902,262.6290761773772,-85.47417602202415,27,0,joint
1,shd,303,2395541,188.33998115097168,event_structure,30610,183.89323382458554,-4.446747326386145,27,1,joint
1,shd,334,2671322,203.314194170448,event_structure,33562,197.7945431436134,-5.519651026834595,27,2,joint
1,shd,462,3935332,276.37863903824064,event_structure,46948,264.73322090254726,-11.645418135693376,27,3,joint
1,shd,326,2486328,207.64510527016137,event_structure,33374,197.1155901473213,-10.529515122840053,27,4,joint
1,shd,321,2612269,216.23549929315715,event_structure,32457,202.1076577447385,-14.127841548418644,27,5,joint
1,shd,255,1923656,170.29768262221467,event_structure,27440,172.2561034807776,1.9584208585629312,27,6,joint
1,shd,224,1835566,149.80456144726313,event_structure,23072,145.45964289658707,-4.344918550676056,27,7,joint
1,shd,384,2739089,235.0723989958287,event_structure,40480,224.29492222950591,-10.777476766322792,27,8,joint
1,shd,363,2801406,226.42363601206614,event_structure,36681,219.8118623063325,-6.61177370573364,27,9,joint
2,shd,400,3075822,249.09717270790054,event_structure,42160,235.97423820894585,-13.122934498954692,27,0,joint
2,shd,384,2739089,237.04088488309435,event_structure,40768,224.9989269520853,-12.041957931009051,27,1,joint
2,shd,334,2671322,212.3425174100318,event_structure,34068,198.57157182746312,-13.770945582568686,27,2,joint
2,shd,355,2945691,239.21530978821326,event_structure,39162,222.82797581132843,-16.387333976884833,27,3,joint
2,shd,255,1923656,167.11589765587158,event_structure,27255,172.23297614230853,5.117078486436952,27,4,joint
2,shd,342,2529508,219.51568095189393,event_structure,35432,201.2638580343238,-18.251822917570138,27,5,joint
2,shd,363,2801406,225.7840054461795,event_structure,36634,219.73186426420114,-6.052141181978357,27,6,joint
2,shd,293,2335184,194.2403509612171,event_structure,29863,176.89995442869247,-17.340396532524636,27,7,joint
2,shd,462,3935332,280.5889612978234,event_structure,48058,267.9350967615902,-12.653864536233186,27,8,joint
2,shd,326,2486328,210.3361068638444,event_structure,33002,196.57658768533577,-13.75951917850864,27,9,joint
3,shd,322,2407095,209.7665760502936,event_structure,33440,202.78455685218103,-6.982019198112567,27,0,joint
3,shd,462,3935332,282.7500075171852,event_structure,48414,269.00188193354427,-13.748125583640956,27,1,joint
3,shd,255,1923656,170.51374029393352,event_structure,27286,172.23572149331073,1.7219811993772112,27,2,joint
3,shd,476,3422977,282.4837509601461,event_structure,49532,269.2513312475777,-13.2324197125684,27,3,joint
3,shd,400,3075822,251.6409449625526,event_structure,42496,236.85652591430392,-14.78441904824868,27,4,joint
3,shd,465,3536620,282.9775612122019,event_structure,47774,265.1626652673068,-17.814895944895113,27,5,joint
3,shd,384,2739089,233.5837062048516,event_structure,40480,224.29492222950591,-9.288783975345694,27,6,joint
3,shd,355,2918940,240.16884742596872,event_structure,38303,226.1332328255313,-14.035614600437412,27,7,joint
3,shd,363,2801406,223.24444390384045,event_structure,35867,218.51134060909214,-4.733103294748304,27,8,joint
3,shd,384,3096790,240.66932321217706,event_structure,40096,222.04929117381005,-18.620032038367015,27,9,joint
4,shd,400,3075822,253.58606868527602,event_structure,42752,237.54277570591205,-16.04329297936397,27,0,joint
4,shd,255,1923656,165.86145394439882,event_structure,27318,172.23903473716962,6.3775807927708,27,1,joint
4,shd,293,2335184,195.88775146576228,event_structure,29884,176.92076753574054,-18.96698393002174,27,2,joint
4,shd,476,3422977,283.44509595260763,event_structure,49628,269.5588829273437,-13.886213025263942,27,3,joint
4,shd,355,2945691,239.17021631418754,event_structure,39496,223.65303374173152,-15.517182572456022,27,4,joint
4,shd,342,2529508,209.65877672388012,event_structure,35784,201.932570489235,-7.726206234645133,27,5,joint
4,shd,384,3096790,231.80961096883556,event_structure,40480,222.96103186727203,-8.84857910156353,27,6,joint
4,shd,321,2612269,206.1415341096378,event_structure,33062,202.80082026178195,-3.3407138478558522,27,7,joint
4,shd,411,3262375,245.41268047912803,event_structure,42668,234.19398571479803,-11.218694764329996,27,8,joint
4,shd,334,2671322,212.77404594618787,event_structure,33760,198.08947882437053,-14.684567121817338,27,9,joint
5,shd,476,3422977,276.34686418454066,event_structure,49112,267.9207084574747,-8.426155727065975,27,0,joint
5,shd,384,3096790,230.97128143189786,event_structure,39584,220.88242201608784,-10.08885941581002,27,1,joint
5,shd,326,2486328,209.47337947539094,event_structure,33268,196.95765140387482,-12.515728071516122,27,2,joint
5,shd,303,2395541,184.82494494353062,event_structure,29789,183.2199435246115,-1.6050014189191302,27,3,joint
5,shd,384,2739089,231.98196092146551,event_structure,39872,222.8652456279741,-9.11671529349141,27,4,joint
5,shd,293,2335184,193.0982476301305,event_structure,29212,176.3385031943252,-16.75974443580529,27,5,joint
5,shd,462,3935332,279.5931043403121,event_structure,47482,266.2496194919064,-13.343484848405694,27,6,joint
5,shd,322,2407095,204.7261001617931,event_structure,33500,202.87348070244923,-1.8526194593438845,27,7,joint
5,shd,400,3075822,250.07142075675554,event_structure,41504,234.3137342704007,-15.757686486354856,27,8,joint
5,shd,224,1835566,146.65811373244705,event_structure,23264,145.26663444607573,-1.3914792863713217,27,9,joint
6,shd,363,2801406,216.4559813348343,event_structure,36220,219.0529239167064,2.5969425818720993,27,0,joint
6,shd,255,1923656,172.12330835752294,event_structure,27574,172.28286778488302,0.15955942736007955,27,1,joint
6,shd,465,3536620,271.76069014094986,event_structure,46580,261.72386829612276,-10.036821844827102,27,2,joint
6,shd,384,3096790,231.9689941342754,event_structure,40672,223.42834830230856,-8.540645831966827,27,3,joint
6,shd,565,4653617,342.06986349579967,event_structure,60522,324.6407542434972,-17.429109252302453,27,4,joint
6,shd,224,1835566,149.6927408471354,event_structure,23360,145.17911234293877,-4.513628504196646,27,5,joint
6,shd,355,2945691,225.9777309533557,event_structure,37173,218.42598184326414,-7.551749110091549,27,6,joint
6,shd,342,2529508,221.47000322046858,event_structure,36250,202.8671099474126,-18.602893273055997,27,7,joint
6,shd,384,2739089,225.94982971622485,event_structure,39712,222.5021110680717,-3.447718648153142,27,8,joint
6,shd,321,2612269,204.9014772272234,event_structure,33290,203.09307016811738,-1.808407059106031,27,9,joint
7,shd,342,2529508,217.36165458393495,event_structure,34746,200.0566215022494,-17.305033081685536,27,0,joint
7,shd,462,3935332,286.63073331788905,event_structure,47520,266.3592405900598,-20.27149272782924,27,1,joint
7,shd,565,4653617,340.8056403067754,event_structure,60080,322.97602319809675,-17.829617108678633,27,2,joint
7,shd,355,2918940,235.13868529046405,event_structure,39300,228.28176893873353,-6.8569163517305185,27,3,joint
7,shd,224,1835566,145.18569880180502,event_structure,23008,145.5293832185156,0.34368441671057326,27,4,joint
7,shd,334,2671322,210.79625456515672,event_structure,33590,197.83552932153464,-12.960725243622079,27,5,joint
7,shd,363,2801406,228.55700188063935,event_structure,36398,219.33912961704402,-9.217872263595325,27,6,joint
7,shd,384,3096790,232.09661198224987,event_structure,39936,221.6785737355773,-10.41803824667258,27,7,joint
7,shd,255,1923656,177.9225845269461,event_structure,27383,172.24725686119848,-5.675327665747631,27,8,joint
7,shd,465,3536620,280.92035172521,event_structure,47938,265.6522028233727,-15.268148901837321,27,9,joint
8,shd,411,3262375,236.2099292778281,event_structure,41873,232.16252753535025,-4.047401742477859,27,0,joint
8,shd,384,3096790,275.6264304747984,event_structure,40320,222.5773981477131,-53.049032327085285,27,1,joint
8,shd,476,3422977,280.2167102410435,event_structure,49672,269.70026329771565,-10.516446943327821,27,2,joint
8,shd,321,2612269,203.41915591695962,event_structure,33115,202.86727053554853,-0.5518853814110969,27,3,joint
8,shd,224,1835566,144.267037663649,event_structure,22464,146.2351578830186,1.968120219369581,27,4,joint
8,shd,400,3075822,250.44838180881476,event_structure,42224,236.14066123552323,-14.307720573291533,27,5,joint
8,shd,355,2918940,236.18399780122476,event_structure,38515,226.57095656384774,-9.613041237377018,27,6,joint
8,shd,384,2739089,230.64818261835336,event_structure,39520,222.07372743324788,-8.574455185105478,27,7,joint
8,shd,355,2945691,238.96635208227707,event_structure,39356,223.3043622532458,-15.661989829031256,27,8,joint
8,shd,565,4653617,343.4250815079414,event_structure,60139,323.1971797822915,-20.227901725649872,27,9,joint
9,shd,224,1835566,148.20936345007226,event_structure,23328,145.20762833636365,-3.0017351137086052,27,0,joint
9,shd,465,3536620,275.0193832021575,event_structure,47080,263.13660232531436,-11.882780876843128,27,1,joint
9,shd,384,3096790,238.60757281314054,event_structure,40512,223.03839346971165,-15.569179343428885,27,2,joint
9,shd,334,2671322,210.4987909644177,event_structure,34040,198.52658932696397,-11.972201637453736,27,3,joint
9,shd,322,2407095,209.20142477350922,event_structure,33082,202.27705524811756,-6.924369525391654,27,4,joint
9,shd,565,4653617,351.58898878756236,event_structure,58920,318.6959073425502,-32.89308144501217,27,5,joint
9,shd,303,2395541,193.215401764417,event_structure,31114,184.4302638194157,-8.78513794500131,27,6,joint
9,shd,462,3935332,286.064442704728,event_structure,47580,266.5327836672433,-19.5316590374847,27,7,joint
9,shd,355,2945691,233.14334095873835,event_structure,38552,221.382576768067,-11.760764190671352,27,8,joint
9,shd,342,2529508,214.84756324351684,event_structure,35754,201.87431241376714,-12.973250829749702,27,9,joint
10,shd,303,2395541,189.29726403396234,event_structure,30205,183.5289497616119,-5.7683142723504375,27,0,joint
