communication_round,dataset,example_count,input_event_count,measured,model,padded_time_bins,predicted,residual,scientific_seed,selected_position,setting
1,shd,465,3536620,2.156784048,event_structure,46902,1.6203882404349281,-0.5363958075650719,27,0,joint
1,shd,303,2395541,1.162200237,event_structure,30610,1.1359290057823328,-0.026271231217667168,27,1,joint
1,shd,334,2671322,1.255005728,event_structure,33562,1.2214736402920812,-0.03353208770791882,27,2,joint
1,shd,462,3935332,1.704076771,event_structure,46948,1.6331882599464906,-0.07088851105350935,27,3,joint
1,shd,326,2486328,1.282472355,event_structure,33374,1.2168031549485798,-0.06566920005142007,27,4,joint
1,shd,321,2612269,1.334091883,event_structure,32457,1.2477582115162926,-0.0863336714837073,27,5,joint
1,shd,255,1923656,1.05166504,event_structure,27440,1.0649381147585943,0.013273074758594294,27,6,joint
1,shd,224,1835566,0.923981517,event_structure,23072,0.8999207653479164,-0.024060751652083545,27,7,joint
1,shd,384,2739089,1.450351784,event_structure,40480,1.3848657760093834,-0.06548600799061655,27,8,joint
1,shd,363,2801406,1.396797748,event_structure,36681,1.3570217028365876,-0.03977604516341238,27,9,joint
2,shd,400,3075822,1.541993883,event_structure,42160,1.4564872086994711,-0.08550667430052883,27,0,joint
2,shd,384,2739089,1.461021548,event_structure,40768,1.3892228592164981,-0.07179868878350182,27,1,joint
2,shd,334,2671322,1.308129723,event_structure,34068,1.2261997160892344,-0.08193000691076557,27,2,joint
2,shd,355,2945691,1.47493866,event_structure,39162,1.3750852869620855,-0.09985337303791453,27,3,joint
2,shd,255,1923656,1.030757435,event_structure,27255,1.0648723817309564,0.0341149467309565,27,4,joint
2,shd,342,2529508,1.352434119,event_structure,35432,1.2427591145808599,-0.10967500441914013,27,5,joint
2,shd,363,2801406,1.392386428,event_structure,36634,1.3565328890408859,-0.03585353895911414,27,6,joint
2,shd,293,2335184,1.198770504,event_structure,29863,1.0922765690443432,-0.10649393495565684,27,7,joint
2,shd,462,3935332,1.732127071,event_structure,48058,1.65309278196876,-0.0790342890312401,27,8,joint
2,shd,326,2486328,1.298276834,event_structure,33002,1.2135340727819832,-0.08474276121801672,27,9,joint
3,shd,322,2407095,1.299317131,event_structure,33440,1.2518479909886668,-0.04746914001133318,27,0,joint
3,shd,462,3935332,1.742555051,event_structure,48414,1.6597305679128382,-0.08282448308716184,27,1,joint
3,shd,255,1923656,1.052100421,event_structure,27286,1.0648761987946873,0.012775777794687304,27,2,joint
3,shd,476,3422977,1.742451533,event_structure,49532,1.6619123759799344,-0.08053915702006575,27,3,joint
3,shd,400,3075822,1.5556726,event_structure,42496,1.4619586789187062,-0.09371392108129384,27,4,joint
3,shd,465,3536620,1.750133111,event_structure,47774,1.6361411335072633,-0.1139919774927367,27,5,joint
3,shd,384,2739089,1.443728867,event_structure,40480,1.3848657760093834,-0.058863090990616485,27,6,joint
3,shd,355,2918940,1.484868506,event_structure,38303,1.3954247510341489,-0.08944375496585111,27,7,joint
3,shd,363,2801406,1.382250507,event_structure,35867,1.3490971103277971,-0.03315339667220285,27,8,joint
3,shd,384,3096790,1.48823198,event_structure,40096,1.3711441192045264,-0.11708786079547351,27,9,joint
4,shd,400,3075822,1.575557945,event_structure,42752,1.4662167842798697,-0.10934116072013023,27,0,joint
4,shd,255,1923656,1.025964146,event_structure,27318,1.0648831920445616,0.038919046044561645,27,1,joint
4,shd,293,2335184,1.211464032,event_structure,29884,1.092399875909595,-0.1190641560904051,27,2,joint
4,shd,476,3422977,1.752253745,event_structure,49628,1.6638289593823004,-0.08842478561769962,27,3,joint
4,shd,355,2945691,1.478534918,event_structure,39496,1.38019312086411,-0.09834179713588997,27,4,joint
4,shd,342,2529508,1.29618856,event_structure,35784,1.24686318779679,-0.049325372203210094,27,5,joint
4,shd,384,3096790,1.433678871,event_structure,40480,1.376782021613307,-0.056896849386692816,27,6,joint
4,shd,321,2612269,1.273761976,event_structure,33062,1.2519064588123108,-0.0218555171876893,27,7,joint
4,shd,411,3262375,1.51542606,event_structure,42668,1.4457906440890271,-0.06963541591097289,27,8,joint
4,shd,334,2671322,1.314919068,event_structure,33760,1.22326489178384,-0.09165417621616001,27,9,joint
5,shd,476,3422977,1.708016918,event_structure,49112,1.6536223280524203,-0.05439458994757973,27,0,joint
5,shd,384,3096790,1.423402086,event_structure,39584,1.3639376468446978,-0.05946443915530231,27,1,joint
5,shd,326,2486328,1.289351949,event_structure,33268,1.2158439226155542,-0.07350802638444587,27,2,joint
5,shd,303,2395541,1.138716056,event_structure,29789,1.1320025750973297,-0.006713480902670321,27,3,joint
5,shd,384,2739089,1.429753394,event_structure,39872,1.3760277132981535,-0.05372568070184647,27,4,joint
5,shd,293,2335184,1.19048663,event_structure,29212,1.0889875241967255,-0.10149910580327459,27,5,joint
5,shd,462,3935332,1.722682177,event_structure,47482,1.642611317484386,-0.0800708595156141,27,6,joint
5,shd,322,2407095,1.261269465,event_structure,33500,1.2523879244381941,-0.0088815405618059,27,7,joint
5,shd,400,3075822,1.540472839,event_structure,41504,1.4462000840061666,-0.09427275499383336,27,8,joint
5,shd,224,1835566,0.902834845,event_structure,23264,0.8986067607831583,-0.004228084216841732,27,9,joint
6,shd,363,2801406,1.338623286,event_structure,36220,1.3523910087295796,0.013767722729579601,27,0,joint
6,shd,255,1923656,1.061690772,event_structure,27574,1.065049500911277,0.003358728911277087,27,1,joint
6,shd,465,3536620,1.672033337,event_structure,46580,1.6147646097497077,-0.057268727250292306,27,2,joint
6,shd,384,3096790,1.42837093,event_structure,40672,1.3796738773060202,-0.048697052693979836,27,3,joint
6,shd,565,4653617,2.106045308,event_structure,60522,2.0029438421516597,-0.10310146584834046,27,4,joint
6,shd,224,1835566,0.921951713,event_structure,23360,0.8980069690516368,-0.023944743948363212,27,5,joint
6,shd,355,2945691,1.390792986,event_structure,37173,1.3479243421180787,-0.04286864388192124,27,6,joint
6,shd,342,2529508,1.364346305,event_structure,36250,1.2526101471776228,-0.11173615782237722,27,7,joint
6,shd,384,2739089,1.392069629,event_structure,39712,1.3737853215190627,-0.018284307480937345,27,8,joint
6,shd,321,2612269,1.262057864,event_structure,33290,1.2536673754043859,-0.008390488595614087,27,9,joint
7,shd,342,2529508,1.34314827,event_structure,34746,1.235372250516921,-0.10777601948307902,27,0,joint
7,shd,462,3935332,1.764192764,event_structure,47520,1.64329278024121,-0.12089998375878985,27,1,joint
7,shd,565,4653617,2.098596072,event_structure,60080,1.9925354323814535,-0.10606063961854639,27,2,joint
7,shd,355,2918940,1.447214076,event_structure,39300,1.4086699778753076,-0.038544098124692505,27,3,joint
7,shd,224,1835566,0.894886869,event_structure,23008,0.9003931880941458,0.005506319094145784,27,4,joint
7,shd,334,2671322,1.298516602,event_structure,33590,1.2217223505400865,-0.07679425145991359,27,5,joint
7,shd,363,2801406,1.407610899,event_structure,36398,1.3541354744443206,-0.05347542455567944,27,6,joint
7,shd,384,3096790,1.428752906,event_structure,39936,1.368853429190274,-0.05989947680972585,27,7,joint
7,shd,255,1923656,1.094372879,event_structure,27383,1.0649069008192802,-0.029465978180719832,27,8,joint
7,shd,465,3536620,1.726078633,event_structure,47938,1.6391868702709687,-0.08689176272903132,27,9,joint
8,shd,411,3262375,1.460636264,event_structure,41873,1.4332020613683625,-0.027434202631637428,27,0,joint
8,shd,384,3096790,1.700386142,event_structure,40320,1.3744090628924006,-0.3259770791075993,27,1,joint
8,shd,476,3422977,1.725339898,event_structure,49672,1.664710063382798,-0.06062983461720206,27,2,joint
8,shd,321,2612269,1.252072348,event_structure,33115,1.2523063360840663,0.00023398808406627225,27,3,joint
8,shd,224,1835566,0.890282715,event_structure,22464,0.9051284062939535,0.014845691293953522,27,4,joint
8,shd,400,3075822,1.542327356,event_structure,42224,1.457519000111291,-0.08480835588870894,27,5,joint
8,shd,355,2918940,1.45501041,event_structure,38515,1.398119300802553,-0.05689110919744711,27,6,joint
8,shd,384,2739089,1.420715912,event_structure,39520,1.371141443633502,-0.049574468366497815,27,7,joint
8,shd,355,2945691,1.470680031,event_structure,39356,1.3780340310983705,-0.09264599990162958,27,8,joint
8,shd,565,4653617,2.115086,event_structure,60139,1.9939180473287994,-0.1211679526712004,27,9,joint
9,shd,224,1835566,0.91933423,event_structure,23328,0.8982027083157815,-0.0211315216842185,27,0,joint
9,shd,465,3536620,1.692577172,event_structure,47080,1.6235423802284394,-0.06903479177156058,27,1,joint
9,shd,384,3096790,1.469830641,event_structure,40512,1.3772606570128323,-0.09256998398716765,27,2,joint
9,shd,334,2671322,1.295724964,event_structure,34040,1.2259255517432956,-0.06979941225670427,27,3,joint
9,shd,322,2407095,1.288168051,event_structure,33082,1.2487733766118376,-0.039394674388162354,27,4,joint
9,shd,565,4653617,2.165432156,event_structure,58920,1.9657852368337085,-0.19964691916629151,27,5,joint
9,shd,303,2395541,1.191361824,event_structure,31114,1.1391273205582255,-0.05223450344177438,27,6,joint
9,shd,462,3935332,1.764170355,event_structure,47580,1.6443716857199453,-0.11979866928005478,27,7,joint
9,shd,355,2945691,1.437749244,event_structure,38552,1.3661479639204144,-0.07160128007958555,27,8,joint
9,shd,342,2529508,1.324903485,event_structure,35754,1.2465053481451323,-0.07839813685486785,27,9,joint
10,shd,303,2395541,1.172832718,event_structure,30205,1.1337873225278976,-0.039045395472102395,27,0,joint
10,shd,355,2918940,1.467992829,event_structure,38202,1.3941648460037745,-0.0738279829962254,27,1,joint
10,shd,476,3422977,1.725719441,event_structure,49456,1.6604007713550022,-0.06531866964499788,27,2,joint
10,shd,400,3075822,1.617284876,event_structure,43120,1.4724702039177657,-0.1448146720822343,27,3,joint
10,shd,293,2335184,1.200488075,event_structure,30192,1.094327933353953,-0.10616014164604692,27,4,joint
10,shd,384,3096790,1.461679472,event_structure,40512,1.3772606570128323,-0.08441881498716763,27,5,joint
10,shd,565,4653617,2.118015628,event_structure,59714,1.984005576874159,-0.1340100511258413,27,6,joint
10,shd,321,2612269,1.293560182,event_structure,32727,1.2495137659711189,-0.04404641602888115,27,7,joint
10,shd,355,2945691,1.501555951,event_structure,39338,1.3777583187410203,-0.12379763225897977,27,8,joint
10,shd,334,2671322,1.299342767,event_structure,33766,1.223320348323349,-0.07602241867665094,27,9,joint
11,shd,303,2395541,1.168628752,event_structure,30406,1.1348014067608947,-0.033827345239105355,27,0,joint
11,shd,321,2612269,1.302100208,event_structure,33496,1.2553485157279942,-0.04675169227200571,27,1,joint
11,shd,465,3536620,1.688982536,event_structure,47699,1.6347568801406336,-0.05422565585936634,27,2,joint
11,shd,462,3935332,1.707940848,event_structure,48348,1.6584909219348756,-0.04944992606512444,27,3,joint
11,shd,342,2529508,1.321813445,event_structure,36126,1.2510466811363328,-0.07076676386366731,27,4,joint
11,shd,363,2801406,1.355498389,event_structure,36682,1.3570321438173831,0.0015337548173830484,27,5,joint
11,shd,334,2671322,1.277617128,event_structure,33742,1.2230989350771138,-0.05451819292288618,27,6,joint
11,shd,355,2918940,1.432212701,event_structure,38305,1.3954498557124326,-0.03676284528756746,27,7,joint
11,shd,384,2739089,1.41236785,event_structure,40640,1.387273091449928,-0.025094758550072038,27,8,joint
11,shd,400,3075822,1.540232845,event_structure,42784,1.466754402617303,-0.07347844238269707,27,9,joint
12,shd,465,3536620,1.66338038,event_structure,47558,1.6321692367218947,-0.031211143278105258,27,0,joint
12,shd,355,2945691,1.447132802,event_structure,38541,1.365991556637761,-0.0811412453622391,27,1,joint
12,shd,303,2395541,1.171411247,event_structure,30357,1.1345452496285402,-0.03686599737145979,27,2,joint
12,shd,462,3935332,1.765398999,event_structure,47920,1.6505522122256986,-0.11484678677430149,27,3,joint
12,shd,476,3422977,1.756965594,event_structure,48944,1.6503502184240606,-0.10661537557593936,27,4,joint
12,shd,322,2407095,1.292884134,event_structure,33500,1.2523879244381941,-0.040496209561805774,27,5,joint
12,shd,255,1923656,1.027263657,event_structure,27190,1.0648738726291835,0.03761021562918354,27,6,joint
12,shd,384,2739089,1.460872003,event_structure,40704,1.3882453326883066,-0.07262667031169334,27,7,joint
12,shd,363,2801406,1.384298743,event_structure,36522,1.3553832172731495,-0.02891552572685052,27,8,joint
12,shd,334,2671322,1.302386825,event_structure,33962,1.2251695260778863,-0.0772172989221136,27,9,joint
13,shd,326,2486328,1.323462974,event_structure,34374,1.22689643343581,-0.09656654056419,27,0,joint
13,shd,363,2801406,1.385612153,event_structure,36058,1.3508517619401506,-0.034760391059849516,27,1,joint
13,shd,355,2945691,1.439712463,event_structure,38389,1.3638478954685684,-0.07586456753143156,27,2,joint
13,shd,565,4653617,2.103198149,event_structure,60101,1.993027309775834,-0.11017083922416582,27,3,joint
13,shd,476,3422977,1.760046578,event_structure,49108,1.6535441265703357,-0.10650245142966441,27,4,joint
13,shd,411,3262375,1.499925782,event_structure,42188,1.4380980290701393,-0.06182775292986076,27,5,joint
13,shd,355,2918940,1.47259381,event_structure,38478,1.397644181943642,-0.07494962805635796,27,6,joint
13,shd,334,2671322,1.286634113,event_structure,34088,1.2263964405767513,-0.060237672423248734,27,7,joint
13,shd,384,3096790,1.40973498,event_structure,39488,1.3626269614088757,-0.047108018591124345,27,8,joint
13,shd,322,2407095,1.319071712,event_structure,33334,1.2509112616542133,-0.06816045034578666,27,9,joint
14,shd,355,2918940,1.468400529,event_structure,38682,1.4002889912734906,-0.06811153772650935,27,0,joint
14,shd,565,4653617,2.113647517,event_structure,60415,2.000413512002252,-0.11323400499774783,27,1,joint
14,shd,400,3075822,1.577226608,event_structure,42128,1.4559731631431587,-0.1212534448568412,27,2,joint
14,shd,342,2529508,1.312709715,event_structure,35562,1.2442506114997647,-0.06845910350023532,27,3,joint
14,shd,355,2945691,1.473176802,event_structure,39100,1.3741535784847274,-0.0990232235152726,27,4,joint
14,shd,384,2739089,1.473632888,event_structure,41152,1.3951976285561463,-0.07843525944385377,27,5,joint
14,shd,224,1835566,0.909016282,event_structure,23392,0.8978153981658368,-0.011200883834163178,27,6,joint
14,shd,462,3935332,1.84050644,event_structure,48112,1.6540918924744155,-0.1864145475255845,27,7,joint
14,shd,322,2407095,1.290438873,event_structure,32668,1.2455397489084286,-0.044899124091571485,27,8,joint
14,shd,465,3536620,1.731968548,event_structure,48056,1.6413941873676139,-0.09057436063238611,27,9,joint
15,shd,293,2335184,1.190709352,event_structure,29799,1.0919072797356089,-0.0988020722643912,27,0,joint
15,shd,363,2801406,1.398007892,event_structure,36489,1.355048569915704,-0.04295932208429609,27,1,joint
15,shd,355,2945691,1.492776379,event_structure,39479,1.3799295647901815,-0.11284681420981846,27,2,joint
15,shd,321,2612269,1.337768236,event_structure,33322,1.253922953582924,-0.08384528241707612,27,3,joint
15,shd,476,3422977,1.720874404,event_structure,49284,1.656998470250553,-0.063875933749447,27,4,joint
15,shd,355,2918940,1.449469416,event_structure,38907,1.4032768386709833,-0.046192577329016604,27,5,joint
15,shd,342,2529508,1.361184717,event_structure,36270,1.2528646127374188,-0.10832010426258121,27,6,joint
15,shd,384,3096790,1.417842504,event_structure,39232,1.3591957479572256,-0.05864675604277436,27,7,joint
15,shd,224,1835566,0.94189299,event_structure,23936,0.895180255160307,-0.04671273483969307,27,8,joint
15,shd,255,1923656,1.063200187,event_structure,27414,1.0649226729597387,0.0017224859597386732,27,9,joint
16,shd,303,2395541,1.178652479,event_structure,30997,1.1383335120637685,-0.04031896693623138,27,0,joint
16,shd,384,2739089,1.460857281,event_structure,40288,1.3820213647846336,-0.07883591621536645,27,1,joint
16,shd,462,3935332,1.774555558,event_structure,48254,1.6567324443002018,-0.11782311369979825,27,2,joint
16,shd,255,1923656,1.059583726,event_structure,27408,1.064919395982085,0.005335669982085012,27,3,joint
16,shd,334,2671322,1.283203041,event_structure,33278,1.219037840675881,-0.06416520032411888,27,4,joint
16,shd,465,3536620,1.734228271,event_structure,47802,1.6366593113117984,-0.09756895968820167,27,5,joint
16,shd,224,1835566,0.930197167,event_structure,23424,0.8976279785748682,-0.03256918842513179,27,6,joint
16,shd,384,3096790,1.457469776,event_structure,40896,1.3831079360708607,-0.07436183992913925,27,7,joint
16,shd,322,2407095,1.279201694,event_structure,32962,1.2478000413563688,-0.03140165264363115,27,8,joint
16,shd,355,2945691,1.447423513,event_structure,38942,1.3718028486840526,-0.07562066431594738,27,9,joint
17,shd,384,3096790,1.421799021,event_structure,40416,1.3758287848647184,-0.04597023613528162,27,0,joint
17,shd,476,3422977,1.757506162,event_structure,49128,1.6539352769117057,-0.10357088508829437,27,1,joint
17,shd,303,2395541,1.195284476,event_structure,30689,1.1363918756263702,-0.058892600373629866,27,2,joint
17,shd,326,2486328,1.317674784,event_structure,33492,1.2178965849170629,-0.09977819908293717,27,3,joint
17,shd,411,3262375,1.538733358,event_structure,42722,1.4466732530790036,-0.09206010492099637,27,4,joint
17,shd,355,2945691,1.470675933,event_structure,39208,1.3757799080546222,-0.09489602494537785,27,5,joint
17,shd,465,3536620,1.688956075,event_structure,47457,1.6303275953528473,-0.058628479647152565,27,6,joint
17,shd,400,3075822,1.565989909,event_structure,43072,1.4716458031828612,-0.09434410581713881,27,7,joint
17,shd,321,2612269,1.265043239,event_structure,33250,1.2533508049439472,-0.011692434056052692,27,8,joint
17,shd,565,4653617,2.137524626,event_structure,60935,2.012773339857178,-0.12475128614282172,27,9,joint
18,shd,293,2335184,1.146829251,event_structure,28448,1.086512394821722,-0.06031685617827809,27,0,joint
18,shd,355,2945691,1.474659104,event_structure,39252,1.3764469909685024,-0.09821211303149768,27,1,joint
18,shd,342,2529508,1.32272177,event_structure,35386,1.2422382226208928,-0.08048354737910723,27,2,joint
18,shd,355,2918940,1.453490987,event_structure,38298,1.3953620157876712,-0.05812897121232874,27,3,joint
18,shd,224,1835566,0.9212615,event_structure,23520,0.8970904581303287,-0.024171041869671228,27,4,joint
18,shd,384,3096790,1.44446195,event_structure,39488,1.3626269614088757,-0.08183498859112426,27,5,joint
18,shd,462,3935332,1.724972455,event_structure,47382,1.640824856465204,-0.08414759853479614,27,6,joint
18,shd,363,2801406,1.387283503,event_structure,36434,1.3544949893469873,-0.03278851365301261,27,7,joint
18,shd,465,3536620,1.73803311,event_structure,47894,1.6383671943519502,-0.09966591564804972,27,8,joint
18,shd,255,1923656,1.062170289,event_structure,27469,1.0649577131764874,0.002787424176487363,27,9,joint
19,shd,224,1835566,0.914552506,event_structure,23552,0.8969194747385076,-0.017633031261492405,27,0,joint
19,shd,321,2612269,1.30592037,event_structure,33246,1.2533193256638473,-0.05260104433615265,27,1,joint
19,shd,476,3422977,1.770148653,event_structure,49540,1.6620717853143017,-0.10807686768569824,27,2,joint
19,shd,565,4653617,2.111933925,event_structure,60300,1.9977015539420817,-0.1142323710579185,27,3,joint
19,shd,342,2529508,1.360013896,event_structure,36050,1.2501006068341134,-0.10991328916588672,27,4,joint
19,shd,400,3075822,1.55877974,event_structure,42448,1.4611688302945733,-0.09761090970542674,27,5,joint
19,shd,322,2407095,1.341950027,event_structure,34060,1.2577585495685106,-0.08419147743148936,27,6,joint
19,shd,462,3935332,1.740386944,event_structure,48056,1.6530558314609705,-0.08733111253902948,27,7,joint
19,shd,411,3262375,1.49661872,event_structure,41612,1.4292391586165305,-0.06737956138346957,27,8,joint
19,shd,255,1923656,1.05138244,event_structure,27245,1.064871772992749,0.013489332992749015,27,9,joint
20,shd,384,3096790,1.489945467,event_structure,40704,1.3801605079635397,-0.10978495903646035,27,0,joint
20,shd,400,3075822,1.526220942,event_structure,41376,1.4442554443569016,-0.08196549764309835,27,1,joint
20,shd,476,3422977,1.787917786,event_structure,50104,1.673449012646067,-0.1144687733539329,27,2,joint
20,shd,465,3536620,1.730821325,event_structure,47540,1.6318402924431261,-0.09898103255687385,27,3,joint
20,shd,224,1835566,0.912691848,event_structure,23296,0.8984026331356567,-0.014289214864343314,27,4,joint
20,shd,565,4653617,2.117912911,event_structure,59934,1.9891230649378802,-0.12878984606211974,27,5,joint
20,shd,303,2395541,1.179600988,event_structure,30498,1.1352977802664803,-0.0443032077335197,27,6,joint
20,shd,255,1923656,1.039071143,event_structure,27291,1.0648770873140165,0.025805944314016616,27,7,joint
20,shd,293,2335184,1.218077946,event_structure,29664,1.0911606630251933,-0.12691728297480664,27,8,joint
20,shd,355,2918940,1.469720882,event_structure,37692,1.3880428617105567,-0.08167802028944338,27,9,joint
21,shd,224,1835566,0.902924685,event_structure,23072,0.8999207653479164,-0.0030039196520835754,27,0,joint
21,shd,384,3096790,1.449532105,event_structure,39712,1.3657053284898844,-0.08382677651011572,27,1,joint
21,shd,476,3422977,1.791260812,event_structure,50120,1.673775718655702,-0.11748509334429791,27,2,joint
21,shd,321,2612269,1.330497279,event_structure,33364,1.2542615212657733,-0.07623575773422675,27,3,joint
21,shd,255,1923656,1.064644884,event_structure,27831,1.0654099465488427,0.0007650625488426765,27,4,joint
21,shd,355,2945691,1.469331708,event_structure,37889,1.3570320511980603,-0.11229965680193965,27,5,joint
21,shd,411,3262375,1.52402432,event_structure,42006,1.4352542933895718,-0.08877002661042832,27,6,joint
